,month_year,n_afedit_result_all,n_afedit_result_disallow,n_afedit_result_warn,n_afedit_result_tag,n_afedit_result_other,n_afedit_editor_all,n_afedit_editor_ip,n_afedit_editor_bot,n_afedit_editor_user
0,2009-03,98336,2355,53259,42722,0,43186,32943,14,10229
1,2009-04,178851,4551,88776,85524,0,82194,58133,8,24053
2,2009-05,211495,4667,87449,119379,0,93990,66766,8,27216
3,2009-06,178840,4032,65055,109753,0,80322,54781,12,25529
4,2009-07,160733,4013,52030,104690,0,73174,46732,11,26431
5,2009-08,161998,8125,52927,0,100946,75571,49367,8,26196
6,2009-09,213016,16394,71968,124654,0,90828,64714,5,26109
7,2009-10,226555,17124,76082,133349,0,99765,73442,2,26321
8,2009-11,209907,19778,67014,0,123115,92255,67128,2,25125
9,2009-12,165890,16596,47083,102211,0,73087,52530,3,20554
10,2010-01,193048,17767,57763,0,117518,86980,64163,3,22814
11,2010-02,205902,21344,60779,123779,0,90363,67185,3,23175
12,2010-03,216709,18366,63396,0,134947,96439,71382,3,25054
13,2010-04,197107,12299,58991,125817,0,85112,63522,5,21585
14,2010-05,206553,40535,48164,0,117854,86380,65285,4,21091
15,2010-06,145904,23684,35367,86853,0,64485,47339,6,17140
16,2010-07,127512,18384,30375,78753,0,58250,41298,5,16947
17,2010-08,138115,19543,34145,84427,0,62999,44762,7,18230
18,2010-09,174503,26788,51875,95840,0,76750,57489,7,19254
19,2010-10,206578,31869,59960,0,114749,87607,66482,7,21118
20,2010-11,195192,28334,57075,0,109783,83292,62448,0,20844
21,2010-12,157601,22551,46685,88365,0,72077,53212,0,18865
22,2011-01,180957,24506,54171,0,102280,82500,61520,3,20977
23,2011-02,172817,26654,53041,93122,0,77281,55961,0,21320
24,2011-03,177324,25650,56173,95501,0,78867,55101,7,23759
25,2011-04,160502,20447,50494,89561,0,71987,49295,1,22691
26,2011-05,173244,17767,50168,0,105309,77098,50469,12,26617
27,2011-06,143483,12084,36861,94538,0,67208,42621,11,24576
28,2011-07,133118,10808,31768,0,90542,63372,39448,12,23912
29,2011-08,133873,12290,36240,0,85343,63732,42223,6,21503
30,2011-09,171865,20708,51155,100002,0,75270,53149,1,22120
31,2011-10,224520,37330,69731,0,117459,91823,68542,1,23280
32,2011-11,211014,41596,59425,109993,0,87928,65032,8,22888
33,2011-12,175300,32489,46116,96695,0,75007,54098,0,20909
34,2012-01,191936,32359,55273,0,104304,82017,59618,0,22399
35,2012-02,197001,35039,56367,0,105595,82647,60930,2,21715
36,2012-03,183827,37776,68034,0,78017,73742,54864,3,18875
37,2012-04,173368,35155,69139,0,69074,68699,51203,2,17494
38,2012-05,177491,39381,76087,0,62023,68906,54370,3,14533
39,2012-06,121259,23494,50515,47250,0,51403,39275,6,12122
40,2012-07,106696,19325,42870,0,44501,46083,34336,3,11744
41,2012-08,114786,22020,46226,46540,0,49218,36789,4,12425
42,2012-09,149778,35823,61161,52794,0,59349,47318,5,12026
43,2012-10,193452,51546,76974,0,64932,72653,58041,4,14608
44,2012-11,175065,44231,70859,0,59975,68781,55214,2,13565
45,2012-12,139791,29983,57957,0,51851,57849,45589,2,12258
46,2013-01,153335,32661,64296,56378,0,63020,49739,2,13279
47,2013-02,175846,36538,62579,0,76729,64316,48947,6,15363
48,2013-03,150154,35211,56222,58721,0,59088,44970,2,14116
49,2013-04,143389,32738,57828,0,52823,56916,44341,3,12572
50,2013-05,158287,36892,64749,0,56646,61830,48737,3,13090
51,2013-06,105125,20999,40722,0,43404,44752,33776,2,10974
52,2013-07,108055,14190,41914,51951,0,46129,28483,12,17634
53,2013-08,113237,17094,47890,0,48253,43113,26216,2,16895
54,2013-09,118449,25797,45616,47036,0,47214,33971,4,13239
55,2013-10,156387,35520,63914,56953,0,59351,45024,8,14319
56,2013-11,148958,32992,58823,0,57143,57431,42650,7,14774
57,2013-12,125412,27389,48940,49083,0,50222,36531,3,13688
58,2014-01,145728,28490,53866,0,63372,56130,40271,8,15851
59,2014-02,138467,30723,55600,0,52144,52143,38478,2,13663
60,2014-03,153838,34923,59505,0,59410,56326,40972,2,15352
61,2014-04,127176,28476,48967,49733,0,48351,33905,2,14444
62,2014-05,130354,29022,49735,0,51597,48364,32704,2,15658
63,2014-06,93154,18009,32813,42332,0,37404,23803,1,13600
64,2014-07,78951,13933,25707,0,39311,33821,19190,3,14628
65,2014-08,89263,17856,29787,41620,0,36729,21807,1,14921
66,2014-09,126710,27537,44917,54256,0,46380,31040,2,15338
67,2014-10,160005,33319,63170,0,63516,55670,38364,2,17304
68,2014-11,148597,30604,57734,60259,0,52546,35834,2,16710
69,2014-12,131117,23426,44224,0,63467,50279,31241,0,19038
70,2015-01,156535,25296,49514,0,81725,59256,35179,6,24071
71,2015-02,157080,26338,50357,80385,0,59081,34544,5,24532
72,2015-03,180973,32988,54678,93307,0,66413,38835,5,27573
73,2015-04,190872,37535,55662,0,97675,71135,46671,8,24456
74,2015-05,242655,42195,56906,143554,0,90741,65039,12,25690
75,2015-06,230140,28785,43778,157577,0,88226,63850,4,24372
76,2015-07,201124,23068,36498,0,141558,79456,55408,1,24047
77,2015-08,200614,26073,39347,0,135194,76831,53131,4,23696
78,2015-09,265661,42128,54989,168544,0,86280,61760,3,24517
79,2015-10,255478,44204,61138,0,150136,92887,66506,0,26381
80,2015-11,274790,41529,70095,163166,0,92795,66269,1,26525
81,2015-12,244780,35831,60327,148622,0,83799,59337,0,24462
82,2016-01,300212,41640,78463,0,180109,95798,68447,1,27350
83,2016-02,297958,43194,71945,0,182819,95565,67790,0,27775
84,2016-03,307428,40928,75729,0,190771,96434,66863,0,29571
85,2016-04,266100,35644,65807,164649,0,90500,62567,3,27930
86,2016-05,255585,37410,59441,0,158734,91442,64431,1,27010
87,2016-06,186255,24262,38133,0,123860,73736,51342,5,22389
88,2016-07,151352,16613,25269,109470,0,68657,46828,2,21827
89,2016-08,169569,20181,31287,0,118101,76264,53216,4,23044
90,2016-09,212546,39809,47551,125186,0,85542,61369,5,24168
91,2016-10,227391,44848,51018,0,131525,92024,67829,6,24189
92,2016-11,231406,45204,50984,135218,0,93312,67015,9,26288
93,2016-12,200543,34643,41486,124414,0,85831,60802,3,25026
94,2017-01,228293,38070,47358,142865,0,96231,67826,17,28388
95,2017-02,227272,38432,47428,0,141412,94172,65727,4,28441
96,2017-03,239329,41493,51406,0,146430,99586,68835,4,30747
97,2017-04,212725,34596,41656,136473,0,86998,60313,10,26675
98,2017-05,215881,38618,45642,0,131621,88769,62867,0,25902
99,2017-06,169985,24370,31095,114520,0,73836,51478,2,22356
100,2017-07,160439,20281,26150,0,114008,71642,49554,1,22087
101,2017-08,179067,22918,31109,125040,0,74896,52117,2,22777
102,2017-09,195831,33610,41720,120501,0,77097,56697,1,20399
103,2017-10,206251,36745,46588,122918,0,85676,65780,3,19893
104,2017-11,232867,35447,48855,0,148565,93410,69226,1,24183
105,2017-12,193549,28570,36354,0,128625,82361,60390,6,21965
106,2018-01,205566,31154,42410,0,132002,87918,65908,6,22004
107,2018-02,194953,32080,41917,120956,0,82096,61118,5,20973
108,2018-03,231069,33605,44296,153168,0,93227,65774,28,27425
109,2018-04,215690,30627,39565,0,145498,88061,60818,13,27230
110,2018-05,202651,30249,42016,0,130386,85367,62673,6,22688
111,2018-06,173812,21501,28277,0,124034,73431,53211,9,20211
112,2018-07,165041,17293,23731,124017,0,71498,50250,5,21243
113,2018-08,173326,20685,26253,126388,0,73120,51606,5,21509
114,2018-09,188502,26259,37674,0,124569,76392,55568,3,20821
115,2018-10,214791,36869,43967,133955,0,86946,63688,4,23254
116,2018-11,214681,42142,38985,133554,0,87738,63955,4,23779
117,2018-12,188083,32891,31723,123469,0,79957,57428,4,22525
118,2019-01,222046,43799,36232,142015,0,92121,67957,5,24159
119,2019-02,209643,46641,33954,0,129048,85234,62020,3,23211
120,2019-03,214163,58005,35782,120376,0,85189,61028,3,24158
121,2019-04,195890,52623,31878,0,111389,79066,56834,1,22231
122,2019-05,207701,57008,34960,115733,0,81472,59307,2,22163
123,2019-06,170862,38285,24070,108507,0,72120,51727,3,20390
124,2019-07,164856,29653,20307,0,114896,71365,50454,4,20907
125,2019-08,175704,35053,23630,117021,0,73723,52399,4,21320
126,2019-09,225018,57755,36950,130313,0,81642,59161,5,22476
127,2019-10,252235,62953,43840,0,145442,93216,67305,4,25907
128,2019-11,232867,55574,41136,136157,0,89661,64221,9,25431
129,2019-12,202722,43736,33753,125233,0,81329,57288,5,24036
130,2020-01,217129,55566,32376,0,129187,87989,62633,6,25350
131,2020-02,214489,56951,32526,125012,0,85569,59900,15,25654
132,2020-03,238276,52504,33180,152592,0,94744,65467,13,29264
133,2020-04,239146,45963,33200,0,159983,96649,64323,12,32314
134,2020-05,260511,50292,37586,0,172633,99972,65474,17,34481
135,2020-06,210130,38808,33971,0,137351,87341,56265,16,31060
136,2020-07,213079,30829,29107,153143,0,82822,52755,11,30056
137,2020-08,216009,34189,29992,151828,0,83642,54197,13,29432
138,2020-09,219650,48338,34913,136399,0,87947,58481,15,29451
139,2020-10,244928,53158,37260,0,154510,96867,65542,14,31311
140,2020-11,236638,50863,37331,148444,0,93646,63443,14,30189
141,2020-12,217513,41284,34081,0,142148,88096,57722,13,30361
142,2021-01,310380,73507,39342,197531,0,118679,81285,12,37382
143,2021-02,326374,66896,39005,220473,0,117655,81919,14,35722
144,2021-03,329607,65751,42131,221725,0,121868,83514,14,38340
145,2021-04,294120,56274,37233,0,200613,110402,74825,13,35564
146,2021-05,280254,57526,39130,183598,0,105334,71352,20,33962
147,2021-06,215170,39765,31551,0,143854,84942,55769,21,29152
148,2021-07,220322,30073,28098,162151,0,78554,50672,15,27867
149,2021-08,202051,34762,28524,0,138765,78419,51869,18,26532
150,2021-09,215076,47388,33223,0,134465,81712,55783,14,25915
151,2021-10,214051,46855,32469,134727,0,83593,56901,14,26678
152,2021-11,202868,45188,29839,0,127841,79089,53213,17,25859
153,2021-12,184035,36348,26468,121219,0,72736,48339,14,24383
154,2022-01,211323,43236,31092,0,136995,81738,55091,19,26628
155,2022-02,219431,50517,31498,137416,0,81308,55393,15,25900
156,2022-03,221376,51771,33011,0,136594,82642,55216,15,27411
157,2022-04,201621,42919,29240,0,129462,76060,50574,17,25469
158,2022-05,224243,47030,30201,147012,0,78812,52628,18,26166
159,2022-06,183169,31326,24104,0,127739,69117,45560,13,23544
160,2022-07,170069,25343,21360,0,123366,67127,44030,18,23079
161,2022-08,186095,31779,23143,0,131173,70473,46362,13,24098
162,2022-09,207707,41558,27090,0,139059,74261,49553,15,24693
163,2022-10,235550,48223,29690,0,157637,80193,53146,17,27030
164,2022-11,202139,46856,27292,0,127991,70432,47091,17,23324
165,2022-12,184675,38136,24695,0,121844,66897,43910,12,22975
166,2023-01,198422,42518,27444,0,128460,73494,48912,14,24568
167,2023-02,192317,43584,26887,121846,0,69752,46140,15,23597
168,2023-03,209192,46904,29145,133143,0,75446,49542,16,25888
169,2023-04,200796,45988,25655,129153,0,73335,48708,12,24615
170,2023-05,225537,51140,25547,0,148850,82815,58107,12,24696
171,2023-06,193881,36685,21543,135653,0,73460,50831,13,22616
172,2023-07,189230,31481,20436,0,137313,73802,50374,14,23414
173,2023-08,190441,32392,19826,0,138223,73876,50279,12,23585
174,2023-09,200534,41285,22460,0,136789,75740,52960,15,22765
175,2023-10,225614,45468,23654,156492,0,84108,56972,15,27121
176,2023-11,210312,44754,23821,141737,0,79583,56073,18,23492
177,2023-12,191852,37747,20329,0,133776,73911,51479,14,22418
